reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"Transport, freight, lorry, diesel, 26t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.8531381791118828,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2006, EURO-IV, long haul",2,1,True,0.6512591648071406,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.6380558428128231,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.6380558428128231,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 26t gross weight, 2002, EURO-III, long haul",2,1,True,0.1972477064220184,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2020, EURO-VI, long haul",2,1,True,0.2474747474747475,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2010, EURO-V, long haul",2,1,True,0.24165029469548138,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.7854571634269258,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.7872727272727273,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2006, EURO-IV, long haul",2,1,True,0.5022222222222222,04-transport,template-with-variation
"Iron scrap, at plant",2,2,False,,08-materials,variable-mix
"Transport, freight, lorry, diesel, 3.5t gross weight, 2020, EURO-VI, long haul",2,1,True,0.551219512195122,04-transport,template-with-variation
"Sawnwood, board, hardwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Transport, freight, lorry, diesel, 40t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.248,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.6847545219638242,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.6848484848484848,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2010, EURO-V, long haul",2,1,True,0.35281837160751567,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.18435754189944134,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.18435754189944134,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2020, EURO-VI, long haul",2,1,True,0.35281837160751567,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.2542819499341239,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.16666666666666663,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, fleet average, long haul",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, fleet average, regional delivery",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, fleet average, urban delivery",2,1,True,0.8,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2002, EURO-III, long haul",2,1,True,0.7155797101449275,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.33034379671150965,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 7.5t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.33034379671150965,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2006, EURO-IV, long haul",2,1,True,0.588785046728972,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.18435754189944134,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.18435754189944134,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 40t gross weight, 2002, EURO-III, long haul",2,1,True,0.35281837160751567,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.3810888252148998,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2020, EURO-VI, regional delivery",2,1,True,0.3810888252148998,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2020, EURO-VI, long haul",2,1,True,0.19902912621359226,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2010, EURO-V, urban delivery",2,1,True,0.3814852492370295,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2010, EURO-V, regional delivery",2,1,True,0.3814852492370295,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2010, EURO-V, long haul",2,1,True,0.19902912621359226,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2006, EURO-IV, urban delivery",2,1,True,0.6802420293227833,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2006, EURO-IV, regional delivery",2,1,True,0.6818700114025086,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2006, EURO-IV, long haul",2,1,True,0.5876777251184834,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.3814852492370295,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.3814852492370295,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 32t gross weight, 2002, EURO-III, long haul",2,1,True,0.19902912621359226,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 3.5t gross weight, 2020, EURO-VI, urban delivery",2,1,True,0.16969696969696973,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2002, EURO-III, urban delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2002, EURO-III, regional delivery",2,1,True,0.6648955012398158,04-transport,template-with-variation
"Transport, freight, lorry, diesel, 18t gross weight, 2002, EURO-III, long haul",2,1,True,0.24165029469548138,04-transport,template-with-variation
"Scantling, softwood, average, at plant, with resource correction",2,1,True,0.02413793103448276,07-construction,trivial-template
"Sawnwood, production mix, hardwood, raw, dried (u=10%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, production mix, hardwood, raw, dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, production mix, softwood, dried (u=10%), planed, at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, production mix, softwood, dried (u=20%), planed, at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, production mix, softwood, raw, dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Scantling, softwood, average, at plant",2,1,True,0.0,07-construction,trivial-template
"Scantling, softwood, laminated, CCC, at plant",2,2,False,,07-construction,variable-mix
"Transport, freight, lorry, 7.5t-16t gross weight, fleet average",2,2,False,,04-transport,variable-mix
"Scantling, softwood, laminated, CCF, at plant",2,2,False,,07-construction,variable-mix
"Scantling, softwood, laminated, CFC, at plant",2,2,False,,07-construction,variable-mix
"Scantling, softwood, laminated, FFF, at plant",2,2,False,,07-construction,variable-mix
"Scantling, softwood, solid wood, finger-jointed, at plant",2,2,False,,07-construction,variable-mix
"Scantling, softwood, solid wood, massive, at plant",2,2,False,,07-construction,variable-mix
"Secondary sulphur, at refinery",2,2,False,,03-chemicals,variable-mix
"Sawnwood, production mix, hardwood, dried (u=20%), planed, at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, production mix, hardwood, dried (u=10%), planed, at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, lath, softwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, softwood, raw, kiln dried (u=10%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, softwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, lath, softwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, softwood, dried (u=10%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, hardwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, hardwood, raw, kiln dried (u=10%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, hardwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, lath, hardwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, lath, hardwood, dried (u=10%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, hardwood, raw, at saw",2,2,False,,08-materials,variable-mix
"Sawnwood, board, softwood, raw, kiln dried (u=20%), at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, board, softwood, raw, air dried (u=20%), at sawmill",2,1,True,0.0,08-materials,trivial-template
"Sawnwood, board, softwood, dried (u=20%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Sawnwood, board, softwood, dried (u=10%), planed, at sawmill",2,2,False,,08-materials,variable-mix
"Separator, lithium-ion battery, at plant",2,2,False,,09-electronics,variable-mix
"Shavings, hardwood, measured as dry mass, at planing mill",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, average, measured as dry mass, at planing machine",2,1,True,0.0,08-materials,trivial-template
Small hydropower plant,2,2,False,,02-electricity,variable-mix
"Transport, freight, lorry, 32t-40t gross weight, fleet average",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, 3.5t-7.5t gross weight, fleet average",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, 3.5t gross weight, fleet average",2,2,False,,04-transport,variable-mix
"Transport, freight, lorry, 16t-32t gross weight, fleet average",2,2,False,,04-transport,variable-mix
"Tempering, flat glass",2,2,False,,07-construction,variable-mix
"Atrazine, at regional storehouse",2,2,False,,03-chemicals,variable-mix
"Tap water, at user",2,2,False,,10-building-services,variable-mix
"Sulphate pulp, average, at regional storage",2,1,True,0.06293706293706292,08-materials,trivial-template
"Strawberries, conventional, unheated plastic tunnel",2,2,False,,01-agriculture,variable-mix
"Soybeans, at farm",2,2,False,,01-agriculture,variable-mix
"Soybean oil, at oil mill",2,2,False,,01-agriculture,variable-mix
"Soybean methyl ester, at esterification plant",2,1,True,0.102030529953917,05-energy,trivial-template
"Soybean meal, at oil mill",2,2,False,,01-agriculture,variable-mix
"Small hydropower plant, in waterworks infrastructure",2,2,False,,02-electricity,variable-mix
"Slab and siding, hardwood, wet, measured as dry mass, at sawmill",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, beam, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Sinter, iron, at plant",2,2,False,,08-materials,variable-mix
"Shavings, softwood, measured as dry mass, at planing mill",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, lath, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, lath, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, board, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Bark chips, hardwood, wet, measured as dry mass, at sawmill",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, beam, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, beam, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, average, measured as dry mass, at planing machine",2,1,True,0.0,08-materials,trivial-template
"Shavings, loose, hardwood, from planing, lath, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, lath, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, board, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, board, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, hardwood, from planing, beam, u=20%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
"Shavings, loose, softwood, from planing, board, u=10%, measured as dry mass, at planing machine",2,2,False,,08-materials,variable-mix
