reference_product,n_locations,n_distinct_structures,identical_structure,max_coefficient_of_variation,sector,bucket
"MG-silicon, at plant",4,1,True,0.0,08-materials,trivial-template
"Photovoltaic cell, single-Si, at plant",4,4,False,,02-electricity,variable-mix
"Natural gas, production IN, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Natural gas, production VE, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Natural gas, production FI, at long-distance pipeline",3,1,True,1.1500474491586113e-16,05-energy,trivial-template
"Gold, from combined gold-silver production, at refinery",3,3,False,,08-materials,variable-mix
"Slab and siding, softwood, wet, measured as dry mass, at sawmill",3,3,False,,08-materials,variable-mix
"Asparagus, conventional",3,3,False,,01-agriculture,variable-mix
"xx Electricity, natural gas, at power plant",3,1,True,0.12419529394109168,02-electricity,trivial-template
"Sawnwood, beam, softwood, dried (u=10%), planed, at sawmill",3,3,False,,08-materials,variable-mix
"Natural gas, production IQ, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Single-Si wafer, photovoltaics, at regional storage",3,2,False,,02-electricity,variable-mix
"Natural gas, production KW, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Transport, high speed train",3,2,False,,04-transport,variable-mix
"Phosphoric acid, fertiliser grade, 70% in H2O, at plant",3,3,False,,03-chemicals,variable-mix
Uranium enrichment centrifuge plant,3,3,False,,05-energy,variable-mix
"Natural gas, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Multi-Si wafer, at regional storage",3,2,False,,02-electricity,variable-mix
"Sawnwood, softwood, raw, at saw",3,3,False,,08-materials,variable-mix
"Photovoltaic panel, single-Si, at regional storage",3,2,False,,02-electricity,variable-mix
"Natural gas, production TH, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Natural gas, production BR, at long-distance pipeline",3,2,False,,05-energy,variable-mix
"Photovoltaic laminate, multi-Si, at regional storage",3,2,False,,02-electricity,variable-mix
"Electricity, hydropower, at reservoir power plant",3,3,False,,02-electricity,variable-mix
"Photovoltaic laminate, CdTe, at plant",3,2,False,,02-electricity,variable-mix
"Photovoltaic laminate, single-Si, at regional storage",3,2,False,,02-electricity,variable-mix
"Natural gas, production AR, at long-distance pipeline",3,2,False,,05-energy,variable-mix
